      Step     Time          Energy          fmax
BFGS:    0 16:31:13   -11344.900732        0.086490
BFGS:    1 16:31:13   -11344.900681        0.054912
BFGS:    2 16:31:13   -11344.900987        0.117293
BFGS:    3 16:31:13   -11344.902423        0.107828
BFGS:    4 16:31:13   -11344.902316        0.064771
BFGS:    5 16:31:13   -11344.903129        0.070177
BFGS:    6 16:31:13   -11344.904300        0.113839
BFGS:    7 16:31:13   -11344.905093        0.091004
BFGS:    8 16:31:14   -11344.904704        0.063142
BFGS:    9 16:31:14   -11344.905411        0.063799
BFGS:   10 16:31:14   -11344.906537        0.052643
BFGS:   11 16:31:14   -11344.906381        0.042083
BFGS:   12 16:31:14   -11344.906737        0.025757
BFGS:   13 16:31:14   -11344.906755        0.020101
BFGS:   14 16:31:14   -11344.906970        0.022643
BFGS:   15 16:31:14   -11344.906666        0.018461
BFGS:   16 16:31:14   -11344.906949        0.012040
BFGS:   17 16:31:14   -11344.906284        0.010107
BFGS:   18 16:31:14   -11344.906667        0.008611
